[Object Name]                     ,  [Type]  ,  [Host]        ,  [Login]             ,  [Active]  ,  [Earliest Time] ,  [Calendars]                       ,  [Object Used In]                  ,  [Object Dependencies]             
JOBP.ORACLE.1                     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {JOBP.ORACLE.2:JOBP}              ,                                    
JOBP.ORACLE.2                     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
JOBS.ORACLERETAILAGENT.RETAILJOB  ,  JOBS    ,  <CIT>         ,                      ,  true      ,                  ,                                    ,                                    ,                                    
JOBS.WIN.ORA.FINANCE.1            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.1:JOBP}              ,  {JOBS.WIN.ORA.FINANCE.3:JOBP.ORACLE.1}
JOBS.WIN.ORA.FINANCE.2            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.1:JOBP}              ,  {JOBS.WIN.ORA.FINANCE.1:JOBP.ORACLE.1}
JOBS.WIN.ORA.FINANCE.3            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.1:JOBP}              ,  {START:JOBP.ORACLE.1}             
JOBS.WIN.ORA.FINANCE.4            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.2:JOBP}              ,  {START:JOBP.ORACLE.2}{JOBP.ORACLE.1:JOBP.ORACLE.2}
JOBS.WIN.ORA.FINANCE.5            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.2:JOBP}              ,  {JOBS.WIN.ORA.FINANCE.4:JOBP.ORACLE.2}
JOBS.WIN.ORA.FINANCE.6            ,  JOBS    ,  WIN01         ,  LOGIN.AE            ,  true      ,  00:00: +0 Days  ,                                    ,  {JOBP.ORACLE.2:JOBP}              ,  {JOBS.WIN.ORA.FINANCE.5:JOBP.ORACLE.2}
PF.ORACLE_ANALYTICS               ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {PF.ORACLE_RETAIL_BATCH:JOBP}     ,  {START:PF.ORACLE_RETAIL_BATCH}    
PF.ORACLE_RETAIL_BATCH            ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
SIM.PURGE_TEMPORARY_UIN_DETAIL    ,  JOBS    ,  SIM_AGENTS    ,  LOGIN.SIM           ,  true      ,                  ,                                    ,  {PF.SIM_PURGE:JOBP}               ,  {START:PF.SIM_PURGE}              
