WRKF.DAILY.SALES.PROCESSING                       ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7587448, 2015-01-16 10:30:17, null           ,  Active         ,  <JSCH>         ,330,  CLIENT_QUEUE   ,  6297:59:52     ,                 
SALES.REPORTING.UNPOSTED.ITEMS.REPORT             ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7587450, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.TRANSACTION.REGISTER              ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7587451, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.RECONCILLIATION.REPORT            ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7587452, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.EXEC.SQL.PROC                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7587706, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.ABORT.BY.DESIGN                   ,  JOBS    ,  VWAGSO07                 ,  BSP/AUTOMIC         ,  Unix           ,           ,7587707, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LIST.SALES                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7587708, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
WRKF.DAILY.SALES.PROCESSING                       ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7587817, 2015-01-18 10:30:09, null           ,  Active         ,  <JSCH>         ,330,  CLIENT_QUEUE   ,  6250:00:00     ,                 
SALES.REPORTING.MANAGED.FILE.TRANSFER             ,  JOBF    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,                 ,           ,7587820, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.COMBINE.SALES.FILES               ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7587821, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LOAD                           ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7587822, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.EXEC.SQL.PROC                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7587823, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
WRKF.STORE.SALES.REPORTING                        ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7587824, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.RECONCILLIATION.REPORT            ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7587825, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.OBIEE.REFRESH                     ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7587826, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.MANAGED.FILE.TRANSFER             ,  JOBF    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,                 ,           ,7593333, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.COMBINE.SALES.FILES               ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7593334, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LOAD                           ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7593335, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.EXEC.SQL.PROC                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7593336, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.DB.LIST.SALES                     ,  JOBS    ,  VWAGSO16.SQL.MSSQL       ,  BSP/AUTOMIC         ,  SQL            ,           ,7593337, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
WRKF.STORE.SALES.REPORTING                        ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7593338, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
WRKF.DAILY.SALES.PROCESSING                       ,  JOBP    ,                           ,  BSP/AUTOMIC         ,                 ,           ,7593693, 2015-01-17 10:30:10, null           ,  Active         ,  <JSCH>         ,330,  CLIENT_QUEUE   ,  6273:59:59     ,                 
SALES.REPORTING.COMBINE.SALES.FILES               ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7593697, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
SALES.REPORTING.UNPOSTED.ITEMS.REPORT             ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7593698, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.RECONCILLIATION.REPORT            ,  JOBS    ,  GSO_OEBS_VWAGSO07        ,  BSP/AUTOMIC         ,  RA             ,           ,7593699, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,                 
SALES.REPORTING.OBIEE.REFRESH                     ,  JOBS    ,  VWAGSO16                 ,  BSP/AUTOMIC         ,  Windows        ,           ,7593700, null           , null           ,  Waiting for predecessor,  <JOBP>         ,330,  CLIENT_QUEUE   ,  0:00:00        ,  SALES.DAILY.REPORTING.LOGIN
